,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.128435936Z,795,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.441932465Z,675,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.463083599Z,675,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:04:24.293419066Z,899,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:04:24.314785955Z,899,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:47:37.87200781Z,791,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:47:37.894728107Z,791,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:47:39.061467749Z,762,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:47:39.084543621Z,762,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:47:38.727627348Z,897,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:47:38.750881671Z,897,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:47:38.887599581Z,1388,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:47:38.912410914Z,1388,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:06.746782216Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:06.769157999Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.196361069Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.223698568Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:04:08.36228919Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
