,result,table,_start,_stop,_time,_value,_field,_measurement,sensor
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:05:55.401528937Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:03.431184967Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:11.684352616Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:19.21682374Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:27.246497234Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:35.341255129Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:43.369754031Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:51.619586898Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:06:59.150450595Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:07.18331506Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:15.278467132Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:23.307073972Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:31.556770912Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:39.585377304Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:47.613202613Z,0,alerts,suricata_stats,bravo
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:07:55.723504863Z,0,alerts,suricata_stats,bravo
