,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,node,phase
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:04.37850203Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:09.597897823Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:14.209778912Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:19.436557881Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:24.659064942Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:29.261309354Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:34.788803089Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:39.701773051Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:44.314861999Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:49.538767158Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:54.196457793Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:59.36842516Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:04.628567338Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:09.508462234Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:14.464812912Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:19.646934154Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:24.25628291Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:29.473887344Z,0,relay_state,telemetry_relay,1.0.0-SR-AES128GCM,CC8DA20CE224,charlie
