time,node,metric,value
2026-07-20T23:13:27.993560727Z,CC8DA20CDB50,humidity,58.6
2026-07-20T23:13:32.980012867Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:13:33.003409063Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:13:37.974735241Z,CC8DA20CDB50,humidity,61.1
2026-07-20T23:13:37.997234802Z,CC8DA20CDB50,humidity,61.1
2026-07-20T23:13:43.006090715Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:13:43.028392094Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:13:47.983595012Z,CC8DA20CDB50,humidity,61.7
2026-07-20T23:13:48.009451136Z,CC8DA20CDB50,humidity,61.7
2026-07-20T23:13:52.981707643Z,CC8DA20CDB50,humidity,60.0
2026-07-20T23:13:53.01331135Z,CC8DA20CDB50,humidity,60.0
2026-07-20T23:13:57.977576865Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:13:57.997179506Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:14:02.984809554Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:14:03.007370189Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:14:07.987712457Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:14:08.013211086Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:14:12.990607882Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:14:13.011300377Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:14:17.993263758Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:14:18.016692806Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:14:22.985010943Z,CC8DA20CDB50,humidity,61.0
2026-07-20T23:14:23.012033828Z,CC8DA20CDB50,humidity,61.0
2026-07-20T23:14:27.982631694Z,CC8DA20CDB50,humidity,61.8
2026-07-20T23:14:28.002069801Z,CC8DA20CDB50,humidity,61.8
2026-07-20T23:14:32.986092067Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:14:33.006834728Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:14:37.989688533Z,CC8DA20CDB50,humidity,61.0
2026-07-20T23:14:38.014718354Z,CC8DA20CDB50,humidity,61.0
2026-07-20T23:14:43.009307084Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:14:43.028501527Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:14:48.002944775Z,CC8DA20CDB50,humidity,57.1
2026-07-20T23:14:48.025973051Z,CC8DA20CDB50,humidity,57.1
2026-07-20T23:14:52.989071022Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:14:53.017423072Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:14:57.993884592Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:14:58.026260899Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:15:02.990213252Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:15:03.0072903Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:15:07.994109119Z,CC8DA20CDB50,humidity,60.2
2026-07-20T23:15:08.017739942Z,CC8DA20CDB50,humidity,60.2
2026-07-20T23:15:13.01219593Z,CC8DA20CDB50,humidity,61.9
2026-07-20T23:15:13.034334738Z,CC8DA20CDB50,humidity,61.9
2026-07-20T23:15:17.996860749Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:15:18.02202292Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:15:22.993051495Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:15:23.018264407Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:15:27.996711172Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:15:28.025038798Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:15:33.000730384Z,CC8DA20CDB50,humidity,62.0
